"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-2e+11;0.000942714;-1.53333e-07;-3.54165e-08
-1.5e+11;0.000942714;-1.73528e-06;1.38968e-06
-1e+11;0.000942714;2.69887e-06;2.93053e-05
-5e+10;0.000942714;-0.00250764;-0.00143734
0;0.000942714;5.13114e-20;0
5e+10;0.000942714;-0.00250764;0.00143734
1e+11;0.000942714;2.69887e-06;-2.93053e-05
1.5e+11;0.000942714;-1.73528e-06;-1.38968e-06
2e+11;0.000942714;-1.53333e-07;3.54165e-08
2.5e+11;0.000942714;-1.8252e-09;2.22257e-08
-2.5e+11;0.000962312;-2.09244e-09;-2.4756e-08
-2e+11;0.000962312;-1.67705e-07;-3.91171e-08
-1.5e+11;0.000962312;-1.85299e-06;1.48032e-06
-1e+11;0.000962312;2.82366e-06;3.05864e-05
-5e+10;0.000962312;-0.00255938;-0.0014672
0;0.000962312;-1.05621e-19;0
5e+10;0.000962312;-0.00255938;0.0014672
1e+11;0.000962312;2.82366e-06;-3.05864e-05
1.5e+11;0.000962312;-1.85299e-06;-1.48032e-06
